case_id,difficulty,environment_family,map_seed,route_seed,route_file,route_point_count,route_segment_count,start_x,start_y,start_z,goal_x,goal_y,goal_z,launch_file,runnable,map_type,complexity,fill,fractal,attenuation,width_min,width_max,obstacle_number,road_width,add_wall_x,add_wall_y,maze_type
dev_mockamap_m42_r3,development,mockamap,42,3,/home/wyx/tf_route_bank/development/mockamap/dev_mockamap_m42_r3.route,5,4,6.4372711181640625,23.116613388061523,0.5,-4.582256317138672,-17.233434677124023,3.494147776291897,/home/wyx/tf_paper_exp/scripts/paper_mockamap_benchmark.launch,0,,,,,,,,,,,,
maze2d_easy_m131001_r231001,easy,maze2d,131001,231001,/home/wyx/tf_route_bank/easy/maze2d/maze2d_easy_m131001_r231001.route,16,15,6.4372711181640625,23.116613388061523,0.5,-4.582256317138672,-17.233434677124023,3.494147776291897,/home/wyx/tf_paper_exp/scripts/paper_mockamap_benchmark.launch,1,3,0.025,0.30,1,0.1,0.6,1.5,10,3.0,0,0,1
perlin3d_easy_m111001_r211001,easy,perlin3d,111001,211001,/home/wyx/tf_route_bank/easy/perlin3d/perlin3d_easy_m111001_r211001.route,16,15,6.4372711181640625,23.116613388061523,0.5,-4.582256317138672,-17.233434677124023,3.494147776291897,/home/wyx/tf_paper_exp/scripts/paper_mockamap_benchmark.launch,1,1,0.025,0.22,1,0.1,0.6,1.5,10,3.0,0,0,1
random_boxes_easy_m121002_r221002,easy,random_boxes,121002,221002,/home/wyx/tf_route_bank/easy/random_boxes/random_boxes_easy_m121002_r221002.route,17,16,6.4372711181640625,23.116613388061523,0.5,-4.582256317138672,-17.233434677124023,3.494147776291897,/home/wyx/tf_paper_exp/scripts/paper_mockamap_benchmark.launch,1,2,0.025,0.30,1,0.1,0.6,1.5,40,3.0,0,0,1
maze2d_hard_m133026_r233026,hard,maze2d,133026,233026,/home/wyx/tf_route_bank/hard/maze2d/maze2d_hard_m133026_r233026.route,24,23,6.4372711181640625,23.116613388061523,0.5,-4.582256317138672,-17.233434677124023,3.494147776291897,/home/wyx/tf_paper_exp/scripts/paper_mockamap_benchmark.launch,1,3,0.025,0.30,1,0.1,0.6,1.5,10,2.0,0,0,1
perlin3d_hard_m113008_r213008,hard,perlin3d,113008,213008,/home/wyx/tf_route_bank/hard/perlin3d/perlin3d_hard_m113008_r213008.route,16,15,6.4372711181640625,23.116613388061523,0.5,-4.582256317138672,-17.233434677124023,3.494147776291897,/home/wyx/tf_paper_exp/scripts/paper_mockamap_benchmark.launch,1,1,0.025,0.34,1,0.1,0.6,1.5,10,3.0,0,0,1
random_boxes_hard_m123001_r223001,hard,random_boxes,123001,223001,/home/wyx/tf_route_bank/hard/random_boxes/random_boxes_hard_m123001_r223001.route,12,11,6.4372711181640625,23.116613388061523,0.5,-4.582256317138672,-17.233434677124023,3.494147776291897,/home/wyx/tf_paper_exp/scripts/paper_mockamap_benchmark.launch,1,2,0.025,0.30,1,0.1,0.6,1.5,100,3.0,0,0,1
maze2d_medium_m132006_r232006,medium,maze2d,132006,232006,/home/wyx/tf_route_bank/medium/maze2d/maze2d_medium_m132006_r232006.route,11,10,6.4372711181640625,23.116613388061523,0.5,-4.582256317138672,-17.233434677124023,3.494147776291897,/home/wyx/tf_paper_exp/scripts/paper_mockamap_benchmark.launch,1,3,0.025,0.30,1,0.1,0.6,1.5,10,2.5,0,0,1
perlin3d_medium_m112006_r212006,medium,perlin3d,112006,212006,/home/wyx/tf_route_bank/medium/perlin3d/perlin3d_medium_m112006_r212006.route,19,18,6.4372711181640625,23.116613388061523,0.5,-4.582256317138672,-17.233434677124023,3.494147776291897,/home/wyx/tf_paper_exp/scripts/paper_mockamap_benchmark.launch,1,1,0.025,0.28,1,0.1,0.6,1.5,10,3.0,0,0,1
random_boxes_medium_m122001_r222001,medium,random_boxes,122001,222001,/home/wyx/tf_route_bank/medium/random_boxes/random_boxes_medium_m122001_r222001.route,10,9,6.4372711181640625,23.116613388061523,0.5,-4.582256317138672,-17.233434677124023,3.494147776291897,/home/wyx/tf_paper_exp/scripts/paper_mockamap_benchmark.launch,1,2,0.025,0.30,1,0.1,0.6,1.5,70,3.0,0,0,1
